epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1908.36,1.41659,1.41834,1.60383,0.76906,0.62557,0.70636,0.40546,1.37779,1.60712,1.67515,0.00620555,0.00620555,0.00620555
53,1944.8,1.40649,1.461,1.57219,0.65357,0.6621,0.69626,0.41244,1.28229,2.1203,1.61153,0.00607916,0.00607916,0.00607916
54,1981.26,1.37561,1.38272,1.56511,0.70922,0.66824,0.68084,0.426,1.28415,1.77888,1.62718,0.00595207,0.00595207,0.00595207
55,2017.72,1.39616,1.43497,1.60564,0.67217,0.65538,0.71102,0.41374,1.30652,1.78898,1.64637,0.00582435,0.00582435,0.00582435
56,2054.09,1.33698,1.39823,1.55443,0.68209,0.6621,0.70223,0.43546,1.24845,2.72953,1.59051,0.0056961,0.0056961,0.0056961
57,2090.44,1.36052,1.38546,1.56038,0.6453,0.69406,0.69398,0.42941,1.26489,2.02216,1.64233,0.00556742,0.00556742,0.00556742
58,2126.8,1.33928,1.33755,1.52676,0.70594,0.70158,0.72217,0.43219,1.27301,1.97817,1.59236,0.00543837,0.00543837,0.00543837
59,2163.13,1.32617,1.3373,1.53323,0.79819,0.72239,0.77335,0.48275,1.26927,1.71506,1.60316,0.00530906,0.00530906,0.00530906
60,2199.59,1.33013,1.32228,1.54648,0.75894,0.621,0.73268,0.44658,1.29651,1.54882,1.65221,0.00517958,0.00517958,0.00517958
61,2235.87,1.34494,1.34386,1.54529,0.75517,0.66667,0.74215,0.47331,1.21103,1.99252,1.56237,0.00505,0.00505,0.00505
62,2272.15,1.31509,1.32417,1.53458,0.73822,0.65753,0.73372,0.44835,1.31522,2.81805,1.62151,0.00492042,0.00492042,0.00492042
63,2308.5,1.36122,1.35115,1.54486,0.72113,0.69667,0.73058,0.4514,1.29803,1.70552,1.62847,0.00479094,0.00479094,0.00479094
64,2344.83,1.36214,1.3401,1.55735,0.80805,0.67278,0.75358,0.47057,1.28111,1.57744,1.58447,0.00466163,0.00466163,0.00466163
65,2381.1,1.29199,1.28645,1.50123,0.70079,0.65753,0.71565,0.44819,1.24202,1.73855,1.55915,0.00453258,0.00453258,0.00453258
66,2417.46,1.27168,1.27025,1.49084,0.72604,0.70776,0.74191,0.4913,1.17336,1.69169,1.5185,0.0044039,0.0044039,0.0044039
67,2454.05,1.26119,1.265,1.48488,0.78628,0.66667,0.76053,0.48833,1.17222,1.73423,1.49022,0.00427565,0.00427565,0.00427565
68,2490.38,1.27351,1.25308,1.48756,0.74991,0.71197,0.7491,0.49155,1.16406,1.72106,1.49362,0.00414793,0.00414793,0.00414793
69,2526.78,1.25349,1.23129,1.47949,0.79403,0.6347,0.74732,0.49938,1.14273,1.53731,1.49074,0.00402084,0.00402084,0.00402084
70,2563.17,1.234,1.19432,1.45509,0.70809,0.74211,0.76206,0.50541,1.16983,1.71639,1.50089,0.00389445,0.00389445,0.00389445
71,2599.59,1.23667,1.21791,1.46535,0.76397,0.71689,0.78028,0.51785,1.13771,1.46656,1.46913,0.00376885,0.00376885,0.00376885
72,2635.97,1.24121,1.21196,1.46081,0.7421,0.72265,0.76547,0.5059,1.10904,1.58676,1.46064,0.00364412,0.00364412,0.00364412
73,2672.22,1.22214,1.21062,1.45694,0.73297,0.71442,0.74745,0.47862,1.21996,1.76484,1.55256,0.00352037,0.00352037,0.00352037
74,2708.49,1.21258,1.2192,1.44748,0.71235,0.65588,0.7132,0.46572,1.14684,1.61688,1.48185,0.00339766,0.00339766,0.00339766
75,2744.87,1.2211,1.21079,1.4513,0.78441,0.68493,0.75858,0.50039,1.15868,1.55921,1.4963,0.00327608,0.00327608,0.00327608
76,2781.15,1.21195,1.17979,1.44603,0.73762,0.73516,0.76684,0.50448,1.13378,1.5009,1.45655,0.00315572,0.00315572,0.00315572
77,2817.39,1.18429,1.15123,1.44566,0.72509,0.73516,0.77043,0.51862,1.0919,1.54784,1.45343,0.00303665,0.00303665,0.00303665
78,2853.7,1.21859,1.17276,1.46354,0.7403,0.68988,0.769,0.52412,1.08552,1.56708,1.45433,0.00291897,0.00291897,0.00291897
79,2890.11,1.19501,1.16907,1.43198,0.6835,0.72603,0.75485,0.49978,1.10024,1.51274,1.44441,0.00280275,0.00280275,0.00280275
80,2926.43,1.22555,1.16929,1.43205,0.72601,0.71388,0.76242,0.52348,1.07999,1.52069,1.4307,0.00268806,0.00268806,0.00268806
81,2962.78,1.18382,1.1407,1.41973,0.72535,0.73059,0.75718,0.50093,1.11135,1.47302,1.44763,0.002575,0.002575,0.002575
82,2999.07,1.18769,1.14359,1.40912,0.77397,0.67232,0.76628,0.50501,1.10171,1.42076,1.41698,0.00246363,0.00246363,0.00246363
83,3035.39,1.15905,1.1036,1.40581,0.84791,0.67123,0.78611,0.53307,1.09528,1.35172,1.40571,0.00235404,0.00235404,0.00235404
84,3071.78,1.18007,1.11871,1.43365,0.76257,0.71233,0.78122,0.53896,1.07216,1.13903,1.42376,0.00224629,0.00224629,0.00224629
85,3108.24,1.16492,1.08491,1.41901,0.84196,0.7032,0.79703,0.55177,1.07328,1.10051,1.41952,0.00214046,0.00214046,0.00214046
86,3144.62,1.18024,1.12763,1.41791,0.82844,0.71233,0.79845,0.55008,1.10466,1.38661,1.45605,0.00203663,0.00203663,0.00203663
